Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,2000,14,Córdoba,19351,36.0,0.18603689731796805
0-4 años,Hombres,2000,15,"Coruña, A",18294,27.0,0.14758937356510332
0-4 años,Hombres,2000,16,Cuenca,3987,1.0,0.025081514923501375
0-4 años,Hombres,2000,17,Girona,13436,9.0,0.0669842214944924
0-4 años,Hombres,2000,18,Granada,16144,45.0,0.27874132804757185
0-4 años,Hombres,2000,19,Guadalajara,3504,1.0,0.028538812785388126
0-4 años,Hombres,2000,20,Gipuzkoa,15042,11.0,0.07312857332801488
0-4 años,Hombres,2000,21,Huelva,10530,6.0,0.056980056980056974
0-4 años,Hombres,2000,22,Huesca,3889,1.0,0.025713551041398816
0-4 años,Hombres,2000,23,Jaén,15582,23.0,0.14760621229623924
0-4 años,Hombres,2000,24,León,7205,5.0,0.06939625260235947
0-4 años,Hombres,2000,25,Lleida,7244,4.0,0.05521811154058532
0-4 años,Hombres,2000,26,"Rioja, La",4991,7.0,0.1402524544179523
0-4 años,Hombres,2000,27,Lugo,4879,3.0,0.06148800983808157
0-4 años,Hombres,2000,28,Madrid,110290,201.0,0.1822468038806782
0-4 años,Hombres,2000,29,Málaga,27279,55.0,0.2016202939990469
0-4 años,Hombres,2000,30,Murcia,31925,68.0,0.2129992169146437
0-4 años,Hombres,2000,31,Navarra,11721,16.0,0.13650712396553194
0-4 años,Hombres,2000,32,Ourense,4903,5.0,0.10197838058331635
0-4 años,Hombres,2000,33,Asturias,15146,20.0,0.1320480654958405
0-4 años,Hombres,2000,34,Palencia,2869,3.0,0.10456605088881143
0-4 años,Hombres,2000,35,"Palmas, Las",22157,35.0,0.15796362323419236
0-4 años,Hombres,2000,36,Pontevedra,16499,15.0,0.09091460088490211
0-4 años,Hombres,2000,37,Salamanca,5864,5.0,0.08526603001364257
0-4 años,Hombres,2000,38,Santa Cruz de Tenerife,15195,30.0,0.19743336623889435
0-4 años,Hombres,2000,39,Cantabria,9073,5.0,0.05510856387082552
0-4 años,Hombres,2000,40,Segovia,2793,3.0,0.10741138560687433
0-4 años,Hombres,2000,41,Sevilla,45884,59.0,0.12858512771336414
0-4 años,Hombres,2000,42,Soria,1469,2.0,0.13614703880190604
0-4 años,Hombres,2000,43,Tarragona,13254,15.0,0.11317338162064282
0-4 años,Hombres,2000,44,Teruel,2420,0.0,0.0
0-4 años,Hombres,2000,45,Toledo,12144,17.0,0.13998682476943347
